# Injection truth table -- cmf2.00_n600_s2033_flat_iso  seed=2033
# observed-size cut FWHMSDbs in [15.0, 80.0] arcsec: 356 of 518 grid nodes retained
# Core mass function sampling:
# dN/dM proportional to M^(-2.00)  (dN/dlogM proportional to M^(-1.00))
# 600 reported masses drawn on [0.05, 6] M_sun; median 0.103 M_sun
# 600 cores assigned to 76 distinct grid nodes
# drawn reported mass versus node reported mass M_SED4bs: median 0.103 versus 0.0643 M_sun, median |log10 ratio| 0.167 dex
# drawn contrast versus node contrast at the drawn column: median 1.231 versus 1.242, median |log10 ratio| 0.012 dex
# drawn observed size versus node size FWHMSDbs: median 40.3 versus 41.6 arcsec, median |log10 ratio| 0.064 dex
# target background column: median 5.04e+21 cm^-2 (5th 3.06e+21, 95th 1.63e+22)
# slope of the true masses M_BE actually assigned, above 0.10 M_sun: x = 1.49 +/- 0.09  (nominal input x = 1.00)
# slope of the true masses M_BE actually assigned, above 0.20 M_sun: x = 1.29 +/- 0.13  (nominal input x = 1.00)
# centers of injected cores must clear the footprints of the real sources by 18.2 arcsec; the footprints themselves cover 6.5% of the field
# sep_criterion=36.3"  scale_factor=1  local_Sigma/SD_emb in cm-2  T_BE in K  rho_BE in cm-3  M_BE in Msun  R_BE_as in arcsec (truncation radius of the sphere)  FWHM_SD in arcsec (observed major axis at half maximum of the model in the surface-density image, FWHMSDbs)
# id    model         x_pix  y_pix  local_Sigma  SD_emb       T_BE   rho_BE       M_BE    R_BE_as  FWHM_SD  scale
#----------------------------------------------------------------------------------------------------------------
  078  i01j07k08       391    787    4.195e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  079  i01j07k08       827    362    4.191e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  080  i01j07k08       792    263    3.562e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  081  i01j07k08       594     90    4.018e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  082  i01j07k08       329    713    4.356e+21    3.000e+21   13.48    1.138e-20  0.1048    42.80    69.54  1
  083  i02j07k08       661    177    4.865e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  084  i02j07k08       318    919    4.501e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  085  i02j07k08        95    890    5.424e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  086  i02j07k08       776    819    7.432e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  087  i02j07k08       443    611    5.687e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  088  i02j07k08       171    807    4.457e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  089  i02j07k08       467    738    4.827e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  090  i02j07k08       204    761    5.642e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  091  i02j07k08       501    660    4.410e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  092  i02j07k08       883    915    4.621e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  093  i02j07k08       880    789    5.562e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  094  i02j07k08        82    774    5.801e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  095  i02j07k08       907    390    5.136e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  096  i02j07k08       284    737    5.052e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  097  i02j07k08       631    275    5.830e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  098  i02j07k08       373    708    5.191e+21    6.000e+21   11.65    1.151e-20  0.1047    42.76    69.32  1
  099  i01j06k08       625    929    3.770e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  100  i01j06k08       894    285    2.876e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  101  i01j06k08       778    103    3.392e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  102  i01j06k08       865    150    3.191e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  103  i01j06k08       834    297    3.543e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  104  i01j06k08       840    220    3.811e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  105  i01j06k08       655     83    3.553e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  106  i01j06k08       221    933    3.904e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  107  i01j06k08       904    166    2.697e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  108  i01j06k08       721     48    3.163e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  109  i01j06k08       878    356    3.603e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  110  i01j06k08       937    280    3.157e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  111  i01j06k08       446    663    4.212e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  112  i01j06k08       846     54    2.993e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  113  i01j06k08       732    101    3.383e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  114  i01j06k08       772    333    3.809e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  115  i01j06k08       170    882    4.170e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  116  i01j06k08       604    190    4.193e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  117  i01j06k08       892    113    2.653e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  118  i01j06k08       661    888    3.835e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  119  i01j06k08       924     55    2.801e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  120  i01j06k08       213    890    3.969e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  121  i01j06k08       935    213    2.881e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  122  i01j06k08       679     39    3.259e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  123  i01j06k08       168    937    3.999e+21    3.000e+21   13.60    7.757e-21  0.0683    41.90    68.40  1
  124  i03j13k07       152    444    1.919e+22    1.200e+22    9.15    3.761e-19  1.3730    58.03    48.84  1
  125  i04j12k03       179    565    1.658e+22    2.400e+22    7.22    1.838e-17  0.8943    62.91    20.19  1
  126  i04j12k03       232    190    2.008e+22    2.400e+22    7.22    1.838e-17  0.8943    62.91    20.19  1
  127  i05j14k06       258    272    2.555e+22    4.800e+22    7.44    9.493e-19  2.1089   127.66    35.07  1
  128  i04j12k04       106    243    2.145e+22    2.400e+22    7.49    7.933e-18  0.8946    56.25    21.81  1
  129  i04j12k07       157    479    1.933e+22    2.400e+22    8.38    2.950e-19  0.8944    45.31    48.15  1
  130  i03j10k07       225    145    1.391e+22    1.200e+22    9.58    1.701e-19  0.3793    30.72    44.03  1
  131  i03j10k07        37    237    1.242e+22    1.200e+22    9.58    1.701e-19  0.3793    30.72    44.03  1
  132  i03j10k07       667    436    1.207e+22    1.200e+22    9.58    1.701e-19  0.3793    30.72    44.03  1
  133  i03j10k07       679    465    1.519e+22    1.200e+22    9.58    1.701e-19  0.3793    30.72    44.03  1
  134  i03j09k07        51    158    1.020e+22    1.200e+22    9.72    1.145e-19  0.2471    28.64    43.00  1
  135  i03j09k07       356    533    1.049e+22    1.200e+22    9.72    1.145e-19  0.2471    28.64    43.00  1
  136  i03j09k07        58    711    1.031e+22    1.200e+22    9.72    1.145e-19  0.2471    28.64    43.00  1
  137  i03j09k07        94    105    9.863e+21    1.200e+22    9.72    1.145e-19  0.2471    28.64    43.00  1
  138  i03j09k07       585    467    1.085e+22    1.200e+22    9.72    1.145e-19  0.2471    28.64    43.00  1
  139  i03j09k07       612    424    1.173e+22    1.200e+22    9.72    1.145e-19  0.2471    28.64    43.00  1
  140  i02j09k07       774    585    8.833e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.64  1
  141  i02j09k07        71    491    8.098e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.64  1
  142  i02j09k07       775    859    7.694e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.64  1
  143  i02j09k07       249    119    8.648e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.64  1
  144  i02j09k07       488    844    6.678e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.64  1
  145  i02j09k07       370    129    8.234e+21    6.000e+21   10.96    1.158e-19  0.2469    28.19    42.64  1
  146  i03j08k07       386    434    1.264e+22    1.200e+22    9.84    7.507e-20  0.1608    27.53    42.39  1
  147  i03j08k07       455    566    1.003e+22    1.200e+22    9.84    7.507e-20  0.1608    27.53    42.39  1
  148  i03j08k07       683    514    1.075e+22    1.200e+22    9.84    7.507e-20  0.1608    27.53    42.39  1
  149  i03j08k07       407    512    1.225e+22    1.200e+22    9.84    7.507e-20  0.1608    27.53    42.39  1
  150  i03j08k07       345    507    1.303e+22    1.200e+22    9.84    7.507e-20  0.1608    27.53    42.39  1
  151  i03j08k07       296     84    9.876e+21    1.200e+22    9.84    7.507e-20  0.1608    27.53    42.39  1
  152  i03j08k07       231    579    1.037e+22    1.200e+22    9.84    7.507e-20  0.1608    27.53    42.39  1
  153  i03j06k07        79    529    8.886e+21    1.200e+22    9.99    3.111e-20  0.0683    26.74    42.24  1
  154  i02j08k07        46    547    8.429e+21    6.000e+21   11.21    7.568e-20  0.1608    27.25    42.21  1
  155  i02j08k07       683    645    8.308e+21    6.000e+21   11.21    7.568e-20  0.1608    27.25    42.21  1
  156  i02j08k07       417    178    7.887e+21    6.000e+21   11.21    7.568e-20  0.1608    27.25    42.21  1
  157  i01j08k07       783     41    3.475e+21    3.000e+21   12.58    7.540e-20  0.1607    27.11    42.17  1
  158  i01j08k07       580    128    4.692e+21    3.000e+21   12.58    7.540e-20  0.1607    27.11    42.17  1
  159  i03j07k07       506    214    8.865e+21    1.200e+22    9.93    4.927e-20  0.1047    26.84    42.00  1
  160  i03j07k07       200    596    1.014e+22    1.200e+22    9.93    4.927e-20  0.1047    26.84    42.00  1
  161  i03j07k07       126    410    1.019e+22    1.200e+22    9.93    4.927e-20  0.1047    26.84    42.00  1
  162  i03j07k07       496    521    1.171e+22    1.200e+22    9.93    4.927e-20  0.1047    26.84    42.00  1
  163  i03j07k07       245     65    9.517e+21    1.200e+22    9.93    4.927e-20  0.1047    26.84    42.00  1
  164  i03j07k07       360    476    1.058e+22    1.200e+22    9.93    4.927e-20  0.1047    26.84    42.00  1
  165  i03j07k07       700    189    9.988e+21    1.200e+22    9.93    4.927e-20  0.1047    26.84    42.00  1
  166  i03j07k07       586    723    9.798e+21    1.200e+22    9.93    4.927e-20  0.1047    26.84    42.00  1
  167  i03j07k07       772    455    9.785e+21    1.200e+22    9.93    4.927e-20  0.1047    26.84    42.00  1
  168  i03j07k07        77    565    9.870e+21    1.200e+22    9.93    4.927e-20  0.1047    26.84    42.00  1
  169  i02j07k07       918    931    6.236e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  170  i02j07k07       405    271    7.999e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  171  i02j07k07       558    615    5.793e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  172  i02j07k07        40    891    7.057e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  173  i02j07k07       339    631    7.332e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  174  i02j07k07       884    851    5.607e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  175  i02j07k07       261    781    6.075e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  176  i02j07k07       910    516    6.211e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  177  i02j07k07       559    113    5.728e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  178  i02j07k07       386    478    7.225e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  179  i02j07k07       569    664    6.920e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  180  i02j07k07       418    690    5.169e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  181  i02j07k07       807    853    7.884e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  182  i02j07k07       613    631    5.898e+21    6.000e+21   11.39    4.978e-20  0.1048    26.62    41.72  1
  183  i01j06k07       559     42    4.307e+21    3.000e+21   13.23    3.190e-20  0.0682    26.35    41.68  1
  184  i01j06k07       327    852    4.164e+21    3.000e+21   13.23    3.190e-20  0.0682    26.35    41.68  1
  185  i01j06k07       402    846    4.381e+21    3.000e+21   13.23    3.190e-20  0.0682    26.35    41.68  1
  186  i01j06k07       582    789    4.413e+21    3.000e+21   13.23    3.190e-20  0.0682    26.35    41.68  1
  187  i01j06k07       926    845    4.318e+21    3.000e+21   13.23    3.190e-20  0.0682    26.35    41.68  1
  188  i01j07k07       815    112    3.291e+21    3.000e+21   12.94    4.994e-20  0.1047    26.48    41.65  1
  189  i01j05k07       938     92    2.923e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  190  i01j05k07       524    630    4.374e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  191  i01j05k07       850    937    4.348e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  192  i01j05k07       427    781    4.262e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  193  i01j05k07       776     68    3.204e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  194  i01j05k07       361    823    4.158e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  195  i01j05k07       343    798    4.132e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  196  i01j05k07       265    912    4.202e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  197  i01j05k07       896    882    4.134e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  198  i01j05k07       751    374    4.316e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  199  i01j05k07       712    814    4.272e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  200  i01j05k07       889     37    2.859e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  201  i01j05k07       749    242    4.303e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  202  i01j05k07       891    242    2.673e+21    3.000e+21   13.43    2.108e-20  0.0445    26.04    41.40  1
  203  i02j06k07       324    671    4.857e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  204  i02j06k07       929    749    5.764e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  205  i02j06k07        85    415    6.090e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  206  i02j06k07       876    731    6.412e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  207  i02j06k07       691    322    6.499e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  208  i02j06k07       595    303    6.399e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  209  i02j06k07       285    110    7.435e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  210  i02j06k07       346    182    7.503e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  211  i02j06k07       270    692    5.066e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  212  i02j06k07       661    741    5.705e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  213  i02j06k07       236    747    6.224e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  214  i02j06k07       575    758    5.886e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  215  i02j06k07       880    502    7.071e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  216  i02j06k07       838    634    7.135e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  217  i02j06k07       772    212    6.947e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  218  i02j06k07       752    715    6.596e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  219  i02j06k07       258    663    5.231e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  220  i02j06k07       310    595    6.023e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  221  i02j06k07       575    269    6.563e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  222  i02j06k07       687    756    4.755e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  223  i02j06k07       734    399    5.528e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  224  i02j06k07       143     46    7.641e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  225  i02j06k07       494    618    5.695e+21    6.000e+21   11.53    3.285e-20  0.0683    26.18    41.31  1
  226  i02j05k07       935    602    5.303e+21    6.000e+21   11.63    2.133e-20  0.0444    25.98    41.23  1
  227  i02j05k07       523    115    6.731e+21    6.000e+21   11.63    2.133e-20  0.0444    25.98    41.23  1
  228  i02j05k07       245    825    4.899e+21    6.000e+21   11.63    2.133e-20  0.0444    25.98    41.23  1
  229  i02j05k07       424    929    4.699e+21    6.000e+21   11.63    2.133e-20  0.0444    25.98    41.23  1
  230  i02j05k07       742    590    7.974e+21    6.000e+21   11.63    2.133e-20  0.0444    25.98    41.23  1
